Cruise, Station, Type, yyyy-mm-ddThh:mm:ss.sss, Longitude [degrees_east], Latitude [degrees_north], Bot. Depth [m], Pressure [dbar], QF, Nitrate [umol/kg], QF, Phosphate [umol/kg], QF, Silicate [umol/kg], QF, Depth from Pressure [m], QF, Section Latitude, QF, QV:ODV:SAMPLE
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 0.00000, 1, 0.16000, 1, 0.04300, 1, 1.39000, 1, 0.000, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 20.00000, 1, 0.09000, 1, 0.04400, 1, 1.39000, 1, 19.869, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 35.00000, 1, 0.17000, 1, 0.06300, 1, 1.39000, 1, 34.770, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 50.00000, 1, 0.10000, 1, 0.06300, 1, 1.54000, 1, 49.669, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 65.00000, 1, 0.18000, 1, 0.09600, 1, 1.69000, 1, 64.567, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 80.00000, 1, 0.03000, 1, 0.07500, 1, 1.55000, 1, 79.465, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 100.00000, 1, 0.92000, 1, 0.15200, 1, 2.13000, 1, 99.326, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 125.00000, 1, 1.88000, 1, 0.21800, 1, 2.56000, 1, 124.150, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 150.00000, 1, 3.43000, 1, 0.32400, 1, 3.86000, 1, 148.971, 1, -9999, 1, 1
SE1102, 74, B, 2011-03-24T03:51:00.000, 202.00000, 26.00000, 5000, 200.00000, 1, 1.89000, 1, 0.23400, 1, 2.85000, 1, 198.604, 1, -9999, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 0.00000, 1, 0.11000, 1, 0.04700, 1, 1.29000, 1, 0.000, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 20.00000, 1, 0.11000, 1, 0.04000, 1, 1.15000, 1, 19.868, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 35.00000, 1, 0.26000, 1, 0.07400, 1, 1.16000, 1, 34.767, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 50.00000, 1, 0.04000, 1, 0.04500, 1, 1.32000, 1, 49.665, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 65.00000, 1, 0.04000, 1, 0.05600, 1, 1.34000, 1, 64.563, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 80.00000, 1, 0.27000, 1, 0.06000, 1, 1.50000, 1, 79.459, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 100.00000, 1, 0.12000, 1, 0.07500, 1, 1.66000, 1, 99.319, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 125.00000, 1, 0.20000, 1, 0.09000, 1, 1.67000, 1, 124.141, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 150.00000, 1, 1.72000, 1, 0.22800, 1, 3.01000, 1, 148.960, 1, 27.00000, 1, 1
SE1102, 71, B, 2011-03-23T19:21:00.000, 202.00000, 27.00000, 5000, 200.00000, 1, 5.45000, 1, 0.46300, 1, 5.67000, 1, 198.589, 1, 27.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 0.00000, 1, 0.13000, 1, 0.04400, 1, 1.15000, 1, 0.000, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 20.00000, 1, 0.21000, 1, 0.04100, 1, 1.32000, 1, 19.866, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 35.00000, 1, 0.14000, 1, 0.04800, 1, 1.19000, 1, 34.764, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 50.00000, 1, 0.14000, 1, 0.04800, 1, 1.51000, 1, 49.662, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 65.00000, 1, 0.22000, 1, 0.06300, 1, 1.68000, 1, 64.558, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 80.00000, 1, 0.30000, 1, 0.08900, 1, 1.70000, 1, 79.453, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 100.00000, 1, 1.05000, 1, 0.13700, 1, 2.16000, 1, 99.311, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 125.00000, 1, 2.76000, 1, 0.27100, 1, 3.79000, 1, 124.131, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 150.00000, 1, 4.41000, 1, 0.37700, 1, 4.68000, 1, 148.948, 1, 28.00000, 1, 1
SE1102, 67, B, 2011-03-23T16:29:00.000, 202.00000, 28.00000, 5000, 200.00000, 1, 4.56000, 1, 0.38800, 1, 4.85000, 1, 198.574, 1, 28.00000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 0.00000, 1, -9999, 1, -9999, 1, -9999, 1, 0.000, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 20.00000, 1, -9999, 1, -9999, 1, -9999, 1, 19.865, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 35.00000, 1, -9999, 1, -9999, 1, -9999, 1, 34.762, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 50.00000, 1, 0.20000, 1, 0.06700, 1, 1.50000, 1, 49.659, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 65.00000, 1, 0.20000, 1, 0.07100, 1, 1.35000, 1, 64.554, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 80.00000, 1, 0.04000, 1, 0.07800, 1, 2.09000, 1, 79.448, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 100.00000, 1, 0.11000, 1, 0.07500, 1, 2.83000, 1, 99.305, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 125.00000, 1, 0.19000, 1, 0.08600, 1, 2.68000, 1, 124.124, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 150.00000, 1, 0.57000, 1, 0.12000, 1, 2.98000, 1, 148.940, 1, 28.75000, 1, 1
SE1102, 64, B, 2011-03-23T11:50:00.000, 202.00000, 28.75000, 5000, 200.00000, 1, -9999, 1, -9999, 1, -9999, 1, 198.562, 1, 28.75000, 1, 1
SE1102, 63, B, 2011-03-23T06:59:00.000, 202.00000, 29.00000, 5000, 0.00000, 1, 0.10000, 1, 0.04100, 1, 1.07000, 1, 0.000, 1, 29.00000, 1, 1
