depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
0,2,26,202,0,0,0,1.6,1.6,3.6,0,0,0,0,0,0,36,0,3.9,0.8,38.5,27.5,66
20,2,26,202,0,0,0,1.9,2.3,4.7,0,0,0,0,0,0,43.8,0,4.6,0.9,43.2,37.1,80.3
35,2,26,202,0,0,0,2.6,2.5,5.7,0,0,0,0,0,0,50.5,0,5.6,1.2,49.2,37,86.2
50,2,26,202,0,0,0,2.5,2.7,5.6,0,0,0,0,0,0,39.4,0,5.5,1.1,41.8,37,78.8
65,2,26,202,0,0,0,2.1,2.4,6.1,0,0,0,0,0,0,50,7.4,5.9,0.9,48.5,42,90.5
80,2,26,202,0,0,0,6.1,2.9,14.9,0,0,1.6,0,0,0,40.8,19.7,12.4,1.7,97.8,75.9,173.7
100,2,26,202,0,0,0,8.1,3.6,19,0,0,1.5,0,0,0,36.2,24.7,12.2,1.9,102,84.2,186.1
125,2,26,202,0,8.1,0,18.7,6.2,34.7,0,0,4.5,0,0,0,22.3,58.5,18.1,2.1,127.7,148,275.6
175,2,26,202,0,5.3,0,4.6,0.9,14.7,0,0,0,0,0,0,1.2,14.9,3,0.3,7.3,40.1,47.4
0,4,27,202,0,0,0,1.7,0,2.9,0,0,0,0,0,0,31.8,0,2.3,0.9,17.9,30.9,48.8
20,4,27,202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
