depth (m),station (#),latitude (deg N),longitude (deg W),chlorophyllide a (ng/l),chlorophyll c (ng/l),peridinin (ng/l),19-butanoyloxyfucoxanthin (ng/l),fucoxanthin (ng/l),19-hexanoyloxyfucoxanthin (ng/l),prasinoxanthin (ng/l),violaxanthin (ng/l),diadinoxanthin (ng/l),alloxanthin (ng/l),diatoxanthin (ng/l),lutein (ng/l),zeaxanthin (ng/l),chlorophyll b (ng/l),alpha carotene (ng/l),beta carotene (ng/l),divinyl chlorophyll a (ng/l),monovinyl chlorophyll a (ng/l),total chlorophyll a (ng/l)
0,74,26,202,0,0,0,5.3,8.4,14.1,0,0,5.7,0,0,0,48.5,0,6,2.5,38.8,56.4,95.2
20,74,26,202,0,0,1.2,5.4,8.2,12.8,0,0,5.6,0,0,0,44.2,0,5.1,2.3,35.5,54.3,89.8
35,74,26,202,0,0,1.3,5.7,8.1,13.1,0,0,5.6,0,0,0,45.7,2.4,5.5,2.2,34.3,60.7,95
50,74,26,202,0,0,1.1,8.2,6.5,18.8,0,0,4.7,0,0,0,42.3,7.9,5.7,1.7,40.7,64.3,105
65,74,26,202,0,0,2.3,13.8,3.7,33,0,0,5,0,0,0,47.4,19.5,9.7,1.9,57.7,80.3,138
80,74,26,202,0,43.8,3.4,57.9,7.9,115.5,0,0,7.6,3,0,0,38.7,41.9,15,2.7,83.3,203.9,287.2
100,74,26,202,0,51.2,2.7,80.6,11.1,101.5,0,0,7.7,2.8,0,0,37.2,27.1,25.3,4.3,114.9,222,336.9
125,74,26,202,0,11,1.7,40.7,5.1,52.7,0,0,3.4,1.1,0,0,14.5,6.7,20.8,2,76,123.9,199.9
150,74,26,202,0,0,0,9.4,0,17.3,0,0,0,0,0,0,1,3.3,2.9,0,7.7,34.4,42.1
200,74,26,202,0,28,1,40.1,4.4,52.1,0,0,3.5,1.3,0,0,14.7,6.1,23.8,2.8,80.2,112,192.2
0,71,27,202,0,0,1.4,4.9,6.6,11.3,0,0,5.3,0,0,0,46.6,0,6.1,3.5,34.4,58.6,93
20,71,27,202,0,0,0,4.8,6.8,11.2,0,0,5.1,0,0,0,44.7,0,5,2.5,32.3,55.3,87.7
35,71,27,202,0,0,1.6,4.8,7,11.4,0,0,4.3,0,0,0,43,4.5,5.5,3.2,33.5,56.7,90.2
50,71,27,202,0,0,1.6,4.8,6.4,12.2,0,0,5.4,0,0,0,45.5,0,5.6,2.9,35.3,57.4,92.7
65,71,27,202,0,0,1.9,6.9,4.9,16.9,0,0,3.8,0,0,0,49.3,7.8,6.6,2.6,42.5,63.2,105.7
80,71,27,202,0,0,1.5,7.6,4.6,20.7,0,0,3.1,0,0,0,46.8,12.5,7.5,2.8,43.9,69,112.9
100,71,27,202,0,8.1,2.6,17.6,7.2,44.9,0,0,4.4,0,1.2,1.1,51,35.3,15.6,2.9,99.6,114.3,213.9
125,71,27,202,0,37.7,2.3,67.8,18.3,79.5,0,0,5.7,0,2.5,1.6,35.2,101.8,26.5,2.7,98.8,200.8,299.6
150,71,27,202,0,7.8,1.7,47.7,13.3,51.9,0,0,3.8,0,1.7,0,15.2,121.9,25.6,2.8,78.8,133.5,212.2
200,71,27,202,0,0,0,2.6,0,5.9,0,0,0,0,0,0,0,0,0.8,0,0.4,12.3,12.6
0,67,28,202,0,0,2.3,5,6.7,16.2,0,0,7,0,0,0,46.6,0,6.6,2.7,37.3,62.7,100
20,67,28,202,0,0,2,5.2,6.7,15.8,0,0,5.4,0,0,0,48,0,5.6,2.2,35.8,63.1,99
25,67,28,202,0,13,1.8,43.1,13.3,54.6,0,0,3.2,0,1.7,0,14.4,102.3,22.2,2.5,54.7,139.9,194.6
35,67,28,202,0,0,0,5.1,7.4,16.5,0,0,5.1,0,0,0,50.5,0,7.6,4.1,41.9,69.8,111.8
50,67,28,202,0,0,2.3,7.3,5.2,21.9,0,0,3.6,0,0,0,52.2,8.2,6.4,2.1,34.7,72.9,107.6
65,67,28,202,0,0,1.6,12.9,5.5,39.1,0,0,3.8,0,0,0,51.9,19.3,11.1,2.9,67.5,100.9,168.3
80,67,28,202,0,21.9,4.4,52,17.6,126.9,0,0,8.6,0,3.8,1.2,34.5,67.1,15.1,4.7,60.1,240.4,300.5
100,67,28,202,0,73.3,2.8,93.1,30.3,158.4,2.2,0,10.1,0,4.4,1.8,36.5,122.2,24.4,5.6,93.3,330.8,424
150,67,28,202,0,0,0,16.3,4.4,27.9,0,0,1,0,0,0,3.9,39,9.1,1,17,62.4,79.4
200,67,28,202,0,0,0,9.6,2.4,17.8,0,0,0,0,0,0,1.7,15.3,2.8,0,5.5,35.9,41.3
0,59,30,202,0,0,0,4.9,3,10,0,0,4.5,0,0,0,33.9,3.4,4.2,2.7,20.1,42,62.1
20,59,30,202,0,0,0,4.7,2.7,10.1,0,0,5.1,0,0,0,35.3,3.9,3.9,2.7,18.5,43.7,62.2
35,59,30,202,0,0,0,4.1,2.8,8.9,0,0,2.9,0,0,0,35.4,2.7,3,1.4,15.3,44.1,59.4
50,59,30,202,0,0,0,6.9,3.4,14.9,0,0,3.4,0,0,0,37.6,7.6,4,1.9,23.6,61.5,85.1
65,59,30,202,0,0,1.8,9.8,3.5,21.5,0,1.6,4.6,0,0,0,41.1,10.9,5.8,3.1,31.2,72.8,104
80,59,30,202,0,0,2.1,11.6,4.6,26.8,0,1.5,3.9,0,0,0,41.1,15.2,7.7,3.3,45,85.8,130.8
