depth (m),station (#),latitude (N),longitude (W),prochlorococcus (mg/m3),prokaryotes (mg/m3),green algae (mg/m3),cryptophytes (mg/m3),prymesiophytes (mg/m3),pelagophytes (mg/m3),dinoflagellates (mg/m3),diatoms (mg/m3),SDP (mg/m3),Total C (mg/m3),Xn (mg/m3),Yp (mg/m3),picophytoplankton (mg/m3),nanophytoplankton (mg/m3),microphytoplankton (mg/m3)
0,74,26,202,28.712,41.71,0,0,17.907,1.855,0,11.844,73.316,95.2,1,0,41.71,19.762,11.844
20,74,26,202,26.27,38.012,0,0,16.256,1.89,1.692,11.562,69.412,89.8,1,0,38.012,18.146,13.254
35,74,26,202,25.382,39.302,2.424,0,16.637,1.995,1.833,11.421,73.612,95,1,0,41.726,18.632,13.254
50,74,26,202,30.118,36.378,7.979,0,23.876,2.87,1.551,9.165,81.819,105,1,0,44.357,26.746,10.716
65,74,26,202,42.698,40.764,19.695,0,41.91,4.83,3.243,5.217,115.66,138,1,0,60.459,46.74,8.46
80,74,26,202,61.642,33.282,42.319,1.8,146.69,20.265,4.794,11.139,260.28,287.2,1,0,75.601,168.75,15.933
100,74,26,202,85.026,31.992,27.371,1.68,128.91,28.21,3.807,15.651,237.62,336.9,1,0,59.363,158.8,19.458
125,74,26,202,56.24,12.47,6.767,0.66,66.929,14.245,2.397,7.191,110.66,199.9,1,0,19.237,81.834,9.588
150,74,26,202,5.698,0.86,3.333,0,21.971,3.29,0,0,29.454,42.1,0.51786,0.48214,14.786,14.668,0
200,74,26,202,59.348,12.642,6.161,0.78,66.167,14.035,1.41,6.204,107.4,192.2,1,0,18.803,80.982,7.614
0,71,27,202,25.456,40.076,0,0,14.351,1.715,1.974,9.306,67.422,93,1,0,40.076,16.066,11.28
20,71,27,202,23.902,38.442,0,0,14.224,1.68,0,9.588,63.934,87.7,1,0,38.442,15.904,9.588
35,71,27,202,24.79,36.98,4.545,0,14.478,1.68,2.256,9.87,69.809,90.2,1,0,41.525,16.158,12.126
50,71,27,202,26.122,39.13,0,0,15.494,1.68,2.256,9.024,67.584,92.7,1,0,39.13,17.174,11.28
65,71,27,202,31.45,42.398,7.878,0,21.463,2.415,2.679,6.909,83.742,105.7,1,0,50.276,23.878,9.588
80,71,27,202,32.486,40.248,12.625,0,26.289,2.66,2.115,6.486,90.423,112.9,1,0,52.873,28.949,8.601
100,71,27,202,73.704,43.86,35.653,0,57.023,6.16,3.666,10.152,156.51,213.9,1,0,79.513,63.183,13.818
125,71,27,202,73.112,30.272,102.82,0,100.97,23.73,3.243,25.803,286.83,299.6,1,0,133.09,124.69,29.046
150,71,27,202,58.312,13.072,123.12,0,65.913,16.695,2.397,18.753,239.95,212.2,1,0,136.19,82.608,21.15
200,71,27,202,0.296,0,0,0,7.493,0.91,0,0,8.403,12.6,0.14616,0.85384,6.3978,2.0052,0
0,67,28,202,27.602,40.076,0,0,20.574,1.75,3.243,9.447,75.09,100,1,0,40.076,22.324,12.69
20,67,28,202,26.492,41.28,0,0,20.066,1.82,2.82,9.447,75.433,99,1,0,41.28,21.886,12.267
25,67,28,202,40.478,12.384,103.32,0,69.342,15.085,2.538,18.753,221.43,194.6,1,0,115.71,84.427,21.291
35,67,28,202,31.006,43.43,0,0,20.955,1.785,0,10.434,76.604,111.8,1,0,43.43,22.74,10.434
50,67,28,202,25.678,44.892,8.282,0,27.813,2.555,3.243,7.332,94.117,107.6,1,0,53.174,30.368,10.575
65,67,28,202,49.95,44.634,19.493,0,49.657,4.515,2.256,7.755,128.31,168.3,1,0,64.127,54.172,10.011
80,67,28,202,44.474,29.67,67.771,0,161.16,18.2,6.204,24.816,307.82,300.5,1,0,97.441,179.36,31.02
100,67,28,202,69.042,31.39,123.42,0,201.17,32.585,3.948,42.723,435.24,424,1,0,154.81,233.75,46.671
