year,zone,PSC,mean (mg/m3),se
2008,STFZ,pico,11.0151,1.470822
2008,STFZ,nano,7.99176,1.291238
2008,STFZ,micro,1.238489,0.250722
2008,TZCF,pico,11.744845,2.317544
2008,TZCF,nano,22.320768,4.855408
2008,TZCF,micro,3.719858,0.716909
2009,STFZ,pico,14.196203,0.529299
2009,STFZ,nano,9.663059,0.822238
2009,STFZ,micro,1.661963,0.082653
2009,TZCF,pico,13.617221,0.568926
2009,TZCF,nano,14.075172,2.191607
2009,TZCF,micro,2.74024,0.556453
2011,STFZ,pico,15.032217,1.085859
2011,STFZ,nano,12.359364,3.129066
2011,STFZ,micro,2.370053,0.986429
2011,TZCF,pico,9.565463,0.827804
2011,TZCF,nano,23.788392,7.337723
2011,TZCF,micro,5.977115,2.206406
