             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2011 00:00 to 01-APR-2011 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
30N,0.05973,0.05395,0.05541,0.05667,0.05694,0.05672,0.05589,0.05751,0.05567,0.05597,0.05687,0.05521,0.05434,0.05354,0.0587,0.06047,0.06249,0.06436,0.0634,0.0602,0.05643
30.1N,0.05432,0.04931,0.05055,0.0543,0.05476,0.05544,0.05293,0.05848,0.05491,0.0537,0.05725,0.05396,0.05404,0.05653,0.06069,0.06207,0.06249,0.06366,0.05938,0.05173,0.05162
30.2N,0.05161,0.04967,0.04608,0.04605,0.04865,0.05092,0.06613,0.05638,0.06021,0.05607,0.05683,0.05319,0.05809,0.05545,0.05761,0.05529,0.05991,0.05892,0.0556,0.0517,0.05067
30.3N,0.03841,0.04665,0.05163,0.04996,0.05151,0.05073,0.06004,0.05712,0.05325,0.05271,-3.4E+38,-3.4E+38,0.05483,0.05458,0.05821,0.05037,0.05627,0.05606,0.05503,0.05309,0.0519
30.4N,0.04865,0.05007,0.04524,0.04386,0.04403,0.04819,0.0483,0.04727,0.04416,0.07077,0.07856,0.07938,-3.4E+38,0.05365,0.05964,0.05682,0.05287,0.05154,0.05174,0.05264,0.05073
30.5N,0.05613,0.05654,0.04737,0.04393,0.0451,0.0463,0.04811,0.04594,0.04528,0.06123,0.06562,0.06272,0.06155,0.05483,0.0593,0.06005,0.0611,0.05847,0.05275,0.05781,0.05674
30.6N,0.05481,0.05153,0.05192,0.05329,0.05441,0.05418,0.05663,0.05669,0.05564,0.05728,0.05663,0.05368,0.05661,0.05854,0.05764,0.06112,0.06479,0.0642,0.05997,0.05839,0.05457
30.7N,0.05225,0.05181,0.05178,0.05509,0.05295,0.05559,0.06029,0.06507,0.0621,0.06269,0.05831,0.05695,0.05763,0.05764,0.05669,0.05918,0.06438,0.06421,0.06276,0.05735,0.0566
30.8N,0.0584,0.05709,0.05739,0.0576,0.05808,0.06007,0.05958,0.0623,0.06519,0.06475,0.0583,0.05808,0.05861,0.05909,0.06193,0.0633,0.05875,0.0591,0.06,0.05469,0.0575
30.9N,0.06711,0.06735,0.0667,0.06763,0.06935,0.06881,0.06961,0.06805,0.06564,0.06193,0.059,0.05666,0.05975,0.05684,0.06085,0.05808,0.05611,0.05497,0.05291,0.04707,0.05048
31N,0.06777,0.06872,0.06683,0.06883,0.06865,0.0698,0.06868,0.06926,0.06925,0.06455,0.05986,0.05704,0.05404,0.05482,0.05658,0.05734,0.05597,0.05497,0.04794,0.0495,0.05022
31.1N,0.06761,0.06532,0.06231,0.06586,0.07161,0.07365,0.07354,0.07955,0.07392,0.06918,0.06614,0.06447,0.06318,0.06068,0.0598,0.0606,0.05988,0.05693,0.05437,0.05152,0.05211
31.2N,0.0648,0.06724,0.06541,0.06923,0.0746,0.07432,0.07742,0.07431,0.06926,0.06408,0.06514,0.06463,0.06306,0.05722,0.06038,0.07506,0.07574,0.0639,0.05923,0.05621,0.07303
31.3N,0.06832,0.07039,0.0714,0.07259,0.07322,0.07116,0.07368,0.07377,0.07417,0.07132,0.07054,0.06729,0.06524,0.06323,0.07509,0.07536,0.07521,0.08204,0.07889,0.07924,0.07938
31.4N,0.06966,0.07289,0.07314,0.07422,0.07502,0.0719,0.07076,0.06976,0.06915,0.07107,0.07421,0.07191,0.06939,0.06662,0.06677,0.0757,0.07931,0.08253,0.08671,0.08571,0.08667
31.5N,0.07148,0.06995,0.06985,0.07274,0.07648,0.07759,0.07417,0.07223,0.07022,0.07032,0.07096,0.07209,0.07317,0.07086,0.07469,0.08025,0.08132,0.08405,0.09399,0.09826,0.1002
31.6N,0.07477,0.07758,0.08091,0.08339,0.0844,0.08538,0.086,0.08465,0.07918,0.07777,0.07721,0.08053,0.08472,0.08549,0.09023,0.09481,0.1006,0.1025,0.1058,0.1039,0.1023
31.7N,0.07488,0.07777,0.08078,0.0825,0.08198,0.08342,0.08521,0.09184,0.08875,0.08736,0.08841,0.08792,0.08696,0.09113,0.09075,0.0912,0.1017,0.1069,0.1119,0.111,0.1127
31.8N,0.0761,0.0783,0.07983,0.08137,0.08294,0.08667,0.09079,0.09373,0.09239,0.09112,0.09212,0.09091,0.09098,0.092,0.09463,0.09421,0.09674,0.0959,0.1015,0.1038,0.1056
31.9N,0.0841,0.0828,0.08252,0.08294,0.08414,0.08512,0.08945,0.09106,0.09011,0.08998,0.09096,0.09411,0.09363,0.09346,0.09486,0.09411,0.09528,0.09184,0.09922,0.09886,0.09668
32N,0.08673,0.0848,0.08558,0.08416,0.08289,0.08465,0.08736,0.08999,0.09136,0.09218,0.09257,0.09665,0.09764,0.09863,0.1021,0.103,0.1046,0.1047,0.1069,0.1059,0.0981
32.1N,0.08314,0.08346,0.08427,0.08425,0.08685,0.08958,0.09053,0.09127,0.09261,0.09918,0.09493,0.09768,0.09967,0.1033,0.1016,0.102,0.1098,0.1135,0.1159,0.1131,0.1105
32.2N,0.0798,0.08094,0.08381,0.09096,0.09587,0.09166,0.09157,0.09414,0.09503,0.09496,0.09869,0.1034,0.1063,0.1107,0.1105,0.09933,0.1076,0.11,0.1481,0.1098,0.108
32.3N,0.08128,0.08139,0.08399,0.09039,0.09658,0.1024,0.1023,0.1069,0.1027,0.1007,0.1024,0.1043,0.1074,0.11,0.1093,0.104,0.1036,0.1058,0.1429,0.1431,0.1299
32.4N,0.08079,0.08089,0.08315,0.08919,0.1012,0.1056,0.1067,0.1088,0.1093,0.1063,0.1017,0.1013,0.1048,0.1033,0.1051,0.1067,0.1074,0.1089,0.1112,0.1165,0.111
32.5N,0.07728,0.08134,0.08491,0.09157,0.1067,0.1125,0.1145,0.1143,0.112,0.1082,0.103,0.1031,0.1073,0.1099,0.1062,0.104,0.106,0.1118,0.1163,0.1171,0.1137
