year,NPI,S18,CP2,FrontDiff
1998,1005.48,29.28,30.22,0.94
1999,1009.45,31.36,33.27,1.91
2000,1008.45,32.12,34.47,2.35
2001,1007.08,31.33,32.89,1.56
2002,1009.2,30.8,31.52,0.72
2003,1005.06,30.08,31.37,1.29
2004,1008.56,30.37,32.56,2.19
2005,1008.15,28.89,32.15,3.26
2006,1010.11,31.13,33.04,1.91
2007,1009.83,30.49,33.32,2.83
2008,1009.3,32.5,32.95,0.45
2009,1013.47,31.73,36.48,4.75
2010,1006.49,29.6,30.38,0.78
2011,1011.13,31.63,33.9,2.27
2012,1010.33,31.99,34.65,2.66
2013,1010.31,31.86,35.55,3.69
2014,1009.81,30.52,33.51,2.99
