YEAR,MONTH,NPGO,,,,,
1996,1,-0.64,,,Year,Month,NPGO-NDJFM
1996,2,-1.05,,,1996,11,-1.164
1996,3,-1.15,,,1997,11,0.75
1996,4,-0.44,,,1998,11,1.368
1996,5,-1.27,,,1999,11,1.608
1996,6,-1.06,,,2000,11,2.476
1996,7,-0.88,,,2001,11,1.944
1996,8,-0.75,,,2002,11,1.75
1996,9,-0.93,,,2003,11,0.286
1996,10,-1.04,,,2004,11,-1.146
1996,11,-1.1,-1.164,,2005,11,-0.806
1996,12,-1.35,,,2006,11,-0.276
1997,1,-1.64,,,2007,11,0.998
1997,2,-1.11,,,2008,11,0.964
1997,3,-0.62,,,2009,11,1.702
1997,4,-0.51,,,2010,11,0.86
1997,5,-0.88,,,2011,11,0.876
1997,6,-0.94,,,2012,11,1.361
1997,7,-0.77,,,,,
1997,8,-0.79,,,,,
1997,9,-0.48,,,,,
1997,10,-0.59,,,,,
1997,11,0.17,0.75,,,,
1997,12,0.26,,,,,
1998,1,0.53,,,,,
1998,2,1.9,,,,,
1998,3,0.89,,,,,
1998,4,0.52,,,,,
1998,5,0.28,,,,,
1998,6,0.12,,,,,
1998,7,0.39,,,,,
1998,8,0.27,,,,,
1998,9,0.04,,,,,
1998,10,0.1,,,,,
1998,11,0.72,1.368,,,,
1998,12,0.77,,,,,
1999,1,1.08,,,,,
1999,2,2.3,,,,,
1999,3,1.97,,,,,
1999,4,1.65,,,,,
1999,5,1.6,,,,,
1999,6,1.91,,,,,
1999,7,1.38,,,,,
1999,8,1.43,,,,,
1999,9,1.3,,,,,
1999,10,1.18,,,,,
1999,11,1.32,1.608,,,,
1999,12,1.05,,,,,
2000,1,1.4,,,,,
2000,2,2.12,,,,,
2000,3,2.15,,,,,
2000,4,2.37,,,,,
2000,5,2.22,,,,,
2000,6,2.1,,,,,
2000,7,1.66,,,,,
2000,8,1.35,,,,,
2000,9,1.38,,,,,
2000,10,1.7,,,,,
2000,11,2.01,2.476,,,,
2000,12,2.16,,,,,
2001,1,2.86,,,,,
2001,2,2.96,,,,,
2001,3,2.39,,,,,
2001,4,2.2,,,,,
2001,5,1.95,,,,,
2001,6,2.35,,,,,
2001,7,1.5,,,,,
2001,8,1.92,,,,,
2001,9,1.89,,,,,
2001,10,1.16,,,,,
2001,11,1.76,1.944,,,,
2001,12,2.02,,,,,
2002,1,1.86,,,,,
2002,2,2.18,,,,,
2002,3,1.9,,,,,
2002,4,0.9,,,,,
2002,5,1.1,,,,,
2002,6,1.61,,,,,
2002,7,1.38,,,,,
2002,8,0.81,,,,,
2002,9,0.82,,,,,
2002,10,0.82,,,,,
2002,11,1.66,1.75,,,,
2002,12,2.64,,,,,
2003,1,1.97,,,,,
2003,2,0.99,,,,,
2003,3,1.49,,,,,
2003,4,1.1,,,,,
2003,5,0.92,,,,,
2003,6,0.78,,,,,
2003,7,1.2,,,,,
2003,8,0.78,,,,,
2003,9,0.87,,,,,
2003,10,1.29,,,,,
2003,11,-0.11,0.286,,,,
2003,12,0.22,,,,,
2004,1,0.27,,,,,
2004,2,0.67,,,,,
2004,3,0.38,,,,,
2004,4,0.13,,,,,
2004,5,0.21,,,,,
2004,6,0.78,,,,,
2004,7,0.41,,,,,
2004,8,0.69,,,,,
2004,9,0.38,,,,,
2004,10,0.04,,,,,
2004,11,-0.44,-1.146,,,,
2004,12,-0.99,,,,,
2005,1,-1.58,,,,,
2005,2,-1.4,,,,,
2005,3,-1.32,,,,,
2005,4,-1.63,,,,,
2005,5,-0.83,,,,,
2005,6,-1.21,,,,,
2005,7,-1.71,,,,,
2005,8,-1.2,,,,,
2005,9,-1.48,,,,,
2005,10,-0.83,,,,,
2005,11,-1.36,-0.806,,,,
2005,12,-0.76,,,,,
2006,1,-0.41,,,,,
2006,2,-0.9,,,,,
2006,3,-0.6,,,,,
2006,4,-0.45,,,,,
2006,5,-0.2,,,,,
2006,6,-0.13,,,,,
2006,7,-0.42,,,,,
2006,8,-0.36,,,,,
2006,9,-0.36,,,,,
2006,10,-0.94,,,,,
2006,11,-0.8,-0.276,,,,
2006,12,0.22,,,,,
2007,1,-0.25,,,,,
2007,2,-0.03,,,,,
2007,3,-0.52,,,,,
2007,4,0.29,,,,,
2007,5,0.61,,,,,
2007,6,1.19,,,,,
2007,7,1.17,,,,,
2007,8,1.27,,,,,
2007,9,0.77,,,,,
2007,10,1.21,,,,,
2007,11,0.88,0.998,,,,
2007,12,0.69,,,,,
2008,1,0.71,,,,,
2008,2,1.28,,,,,
2008,3,1.43,,,,,
2008,4,1.41,,,,,
2008,5,1.53,,,,,
2008,6,1.16,,,,,
2008,7,1.42,,,,,
2008,8,1.99,,,,,
2008,9,2.09,,,,,
2008,10,1.66,,,,,
2008,11,2.06,0.964,,,,
2008,12,0.77,,,,,
2009,1,0.75,,,,,
2009,2,0.9,,,,,
2009,3,0.34,,,,,
2009,4,0.46,,,,,
2009,5,0.4,,,,,
2009,6,0.3,,,,,
2009,7,0.47,,,,,
2009,8,0.54,,,,,
2009,9,0.92,,,,,
2009,10,1.22,,,,,
2009,11,1.29,1.702,,,,
2009,12,1.32,,,,,
2010,1,2.21,,,,,
2010,2,1.95,,,,,
2010,3,1.74,,,,,
2010,4,1.09,,,,,
2010,5,1.64,,,,,
2010,6,1.13,,,,,
2010,7,1.02,,,,,
2010,8,0.91,,,,,
2010,9,0.89,,,,,
2010,10,1.55,,,,,
2010,11,1.07,0.86,,,,
2010,12,1.05,,,,,
2011,1,0.34,,,,,
2011,2,0.62,,,,,
2011,3,1.22,,,,,
2011,4,0.73,,,,,
2011,5,1.3,,,,,
2011,6,1.08,,,,,
2011,7,0.93,,,,,
2011,8,0.91,,,,,
2011,9,1.39,,,,,
2011,10,1.13,,,,,
2011,11,0.55,0.876,,,,
2011,12,0.65,,,,,
2012,1,0.9,,,,,
2012,2,0.97,,,,,
2012,3,1.31,,,,,
2012,4,2.01,,,,,
2012,5,1.6,,,,,
2012,6,1.85,,,,,
2012,7,1.87,,,,,
2012,8,1.6,,,,,
2012,9,1.4,,,,,
2012,10,1.81,,,,,
