             VARIABLE : H (cm)
             DATA SET : SSALTO/DUACS - DT MSLA - Merged Product - Homogeneous Global Processing
             FILENAME : dataset-duacs-dt-ref-global-merged-msla-h_1996-2012.nc
             SUBSET   : 883 points (TIME)
             LONGITUDE: 158W(202)
             LATITUDE : 32N to 34N (averaged)
                        158W   
                        127
 17-JAN-1996 00 /   3:  -1.69
 24-JAN-1996 00 /   4:  -1.02
 31-JAN-1996 00 /   5:  -0.70
 07-FEB-1996 00 /   6:  -1.67
 14-FEB-1996 00 /   7:  -3.05
 21-FEB-1996 00 /   8:  -5.06
 28-FEB-1996 00 /   9:  -6.50
 06-MAR-1996 00 /  10:  -7.78
 13-MAR-1996 00 /  11:  -9.99
 20-MAR-1996 00 /  12: -11.55
 27-MAR-1996 00 /  13: -10.85
 03-APR-1996 00 /  14:  -9.10
 10-APR-1996 00 /  15:  -7.56
 17-APR-1996 00 /  16:  -7.47
 24-APR-1996 00 /  17:  -8.19
 01-MAY-1996 00 /  18:  -9.34
 08-MAY-1996 00 /  19:  -9.50
 15-MAY-1996 00 /  20:  -8.27
 22-MAY-1996 00 /  21:  -6.63
 29-MAY-1996 00 /  22:  -5.66
 05-JUN-1996 00 /  23:  -3.99
 12-JUN-1996 00 /  24:  -2.34
 19-JUN-1996 00 /  25:  -1.69
 26-JUN-1996 00 /  26:  -1.79
 03-JUL-1996 00 /  27:  -1.82
 10-JUL-1996 00 /  28:  -1.46
 17-JUL-1996 00 /  29:  -0.41
 24-JUL-1996 00 /  30:   0.47
 31-JUL-1996 00 /  31:   1.01
 07-AUG-1996 00 /  32:   1.00
 14-AUG-1996 00 /  33:   1.17
 21-AUG-1996 00 /  34:   1.67
 28-AUG-1996 00 /  35:   1.96
 04-SEP-1996 00 /  36:   2.51
 11-SEP-1996 00 /  37:   3.79
 18-SEP-1996 00 /  38:   4.72
 25-SEP-1996 00 /  39:   5.35
 02-OCT-1996 00 /  40:   5.01
 09-OCT-1996 00 /  41:   3.63
 16-OCT-1996 00 /  42:   2.93
 23-OCT-1996 00 /  43:   1.63
 30-OCT-1996 00 /  44:  -0.46
 06-NOV-1996 00 /  45:  -0.67
 13-NOV-1996 00 /  46:   1.78
 20-NOV-1996 00 /  47:   3.33
 27-NOV-1996 00 /  48:   2.52
 04-DEC-1996 00 /  49:   0.51
 11-DEC-1996 00 /  50:  -1.31
 18-DEC-1996 00 /  51:  -1.88
 25-DEC-1996 00 /  52:  -2.78
 01-JAN-1997 00 /  53:  -4.74
 08-JAN-1997 00 /  54:  -5.93
 15-JAN-1997 00 /  55:  -5.03
 22-JAN-1997 00 /  56:  -3.67
 29-JAN-1997 00 /  57:  -3.47
 05-FEB-1997 00 /  58:  -3.16
 12-FEB-1997 00 /  59:  -3.05
 19-FEB-1997 00 /  60:  -3.56
 26-FEB-1997 00 /  61:  -4.94
 05-MAR-1997 00 /  62:  -6.43
 12-MAR-1997 00 /  63:  -7.13
 19-MAR-1997 00 /  64:  -7.10
 26-MAR-1997 00 /  65:  -6.92
 02-APR-1997 00 /  66:  -6.21
 09-APR-1997 00 /  67:  -4.75
 16-APR-1997 00 /  68:  -4.32
 23-APR-1997 00 /  69:  -4.25
 30-APR-1997 00 /  70:  -4.51
 07-MAY-1997 00 /  71:  -5.77
 14-MAY-1997 00 /  72:  -6.79
 21-MAY-1997 00 /  73:  -6.75
 28-MAY-1997 00 /  74:  -6.14
 04-JUN-1997 00 /  75:  -5.45
