 ---- J:1 Y:   30.1N
  2003. "STFZ"  1.204
  2003. "STFZ"  1.141
  2003. "STFZ"  1.138
  2003. "STFZ"  1.118
  2003. "STFZ"  1.088
  2003. "STFZ"  1.056
  2003. "STFZ"  1.075
  2003. "STFZ"  1.054
  2003. "STFZ"  1.049
  2003. "STFZ"  1.069
  2003. "STFZ"  1.059
 ---- J:2 Y:   30.2N
  2003. "STFZ"  1.208
  2003. "STFZ"  1.156
  2003. "STFZ"  1.156
  2003. "STFZ"  1.158
  2003. "STFZ"  1.175
  2003. "STFZ"  1.141
  2003. "STFZ"  1.126
  2003. "STFZ"  1.106
  2003. "STFZ"  1.099
  2003. "STFZ"  1.119
  2003. "STFZ"  1.123
 ---- J:3 Y:   30.3N
  2003. "STFZ"  1.209
  2003. "STFZ"  1.155
  2003. "STFZ"  1.181
  2003. "STFZ"  1.174
  2003. "STFZ"  1.157
  2003. "STFZ"  1.150
  2003. "STFZ"  1.139
  2003. "STFZ"  1.106
  2003. "STFZ"  1.088
  2003. "STFZ"  1.099
  2003. "STFZ"  1.078
 ---- J:4 Y:   30.4N
  2003. "STFZ"  1.234
  2003. "STFZ"  1.163
  2003. "STFZ"  1.153
  2003. "STFZ"  1.153
  2003. "STFZ"  1.188
  2003. "STFZ"  1.182
  2003. "STFZ"  1.166
  2003. "STFZ"  1.137
  2003. "STFZ"  1.090
  2003. "STFZ"  1.131
  2003. "STFZ"  1.095
