             VARIABLE : Chlorophyll-a Concentration (Milligrams per cubic meter)
                        regrid: 0.1 deg on Y@AVE
             DATA SET : MODIS Aqua - Weekly Ocean Color
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             BAD FLAG : -3.4E+38      
             SUBSET   : 21 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 30-MAR-2008 00:00 to 15-APR-2008 00:00 (averaged)
   158.5W ,158.45W,158.4W ,158.35W,158.3W ,158.25W,158.2W ,158.15W,158.1W ,158.05W,158W   ,157.95W,157.9W ,157.85W,157.8W ,157.75W,157.7W ,157.65W,157.6W ,157.55W,157.5W 
30N,0.05186,0.05185,0.05264,0.05239,0.05163,0.05006,0.04904,0.04936,0.05117,0.05217,0.05385,0.05242,0.05343,0.05146,0.05362,0.04866,0.05126,0.05476,0.04502,0.0432,0.04836
30.1N,0.04715,0.05315,0.05339,0.05365,0.0507,0.04848,0.04898,0.04949,0.05247,0.05232,0.05277,0.05273,0.05251,0.0492,0.04899,0.0503,0.05166,0.05431,0.05107,0.0499,0.04828
30.2N,0.04716,0.05253,0.05347,0.05236,0.05153,0.05087,0.04924,0.04914,0.05439,0.05345,0.05413,0.05267,0.0509,0.05185,0.05229,0.05295,0.05486,0.05178,0.04916,0.05622,0.05741
30.3N,0.04332,0.04563,0.04958,0.05088,0.04857,0.05038,0.05233,0.05158,0.05436,0.05423,0.0527,0.05281,0.05293,0.05687,0.04837,0.04936,0.04933,0.04834,0.05234,0.05195,0.05548
30.4N,0.03298,0.03683,0.04035,0.04617,0.04281,0.04306,0.05201,0.05286,0.05388,0.05435,0.05526,0.05435,0.05431,0.05449,0.05069,0.05117,0.05305,0.05208,0.05504,0.05464,0.05477
30.5N,0.03244,0.0318,0.03024,0.03429,0.038,0.03192,0.04451,0.04577,0.04298,0.06178,0.06474,0.06489,0.06125,0.0507,0.05904,0.05764,0.06538,0.06286,0.06539,0.05505,0.06902
30.6N,0.04529,0.03893,0.03845,0.03787,0.04804,-3.4E+38,0.051,0.05043,0.05995,0.05783,0.06233,0.06283,0.06192,0.06084,0.05964,0.07159,0.07385,0.06427,0.06852,0.07243,0.07238
30.7N,0.04658,0.04135,0.04105,0.04113,0.04178,0.05511,0.03753,-3.4E+38,-3.4E+38,-3.4E+38,0.05892,0.06168,0.06244,0.0611,0.07212,0.07295,0.07339,0.07487,0.07369,0.07186,0.07065
30.8N,0.04794,0.03905,0.03948,0.03992,0.04062,0.04327,0.03887,0.037,0.03456,0.03665,0.04306,0.0447,0.03791,0.04587,0.04956,0.04378,0.04438,0.05054,0.07536,0.07208,0.07258
30.9N,0.04708,0.04112,0.0429,0.03953,0.03813,0.03471,0.03635,0.03743,0.03749,0.03914,0.0404,0.04008,0.03999,0.04145,0.04657,0.04501,0.04467,0.04298,0.05903,0.05931,0.06664
31N,0.04036,0.04071,0.04068,0.04114,0.03595,0.03799,0.04098,0.04107,0.04287,0.04235,0.04267,0.0427,0.04075,0.03998,0.03968,0.04588,0.04134,0.04283,0.05126,0.04984,0.05386
