             VARIABLE : Sea-Surface Temperature (degrees Celsius)
             DATA SET : AVHRR SST - Weekly
             FILENAME : weekly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/pfgac/
             BAD FLAG : -3.4E+38      
             SUBSET   : 11 by 61 points (LONGITUDE-LATITUDE)
             TIME     : 15-MAR-2011 00:00 to 01-APR-2011 00:00 (averaged)
   158.5W ,158.4W ,158.3W ,158.2W ,158.1W ,158W   ,157.9W ,157.8W ,157.7W ,157.6W ,157.5W 
30N,19.99,19.96,19.97,20.03,20.07,20.15,20.24,20.3,20.26,20.17,20.11
30.1N,20.15,20.03,20.03,20.19,20.25,20.25,20.23,20.15,20.11,19.98,19.93
30.2N,19.96,20.08,20.11,20.01,20.31,20.32,20.4,20.35,20.29,20.1,19.99
30.3N,20.06,20.18,20,19.87,20.01,20.18,20.21,20.4,20.29,20.07,19.74
30.4N,19.99,20.02,19.92,19.85,20.07,19.95,19.87,20.14,19.94,19.81,19.77
30.5N,19.99,19.81,19.88,19.93,19.91,20.21,20.04,20.07,19.96,19.86,19.73
30.6N,19.86,19.9,20.04,20.1,20.22,20.21,20.12,20.07,19.82,19.93,19.71
30.7N,19.79,19.98,20.04,19.95,20.05,20.16,20.17,19.88,19.99,19.99,19.91
30.8N,19.86,19.86,19.89,19.91,19.9,20.06,20.07,20.09,20.04,20,20
30.9N,19.66,19.65,19.82,19.92,20.1,19.89,20.05,20.03,20.11,19.8,20.16
31N,19.3,19.25,19.31,19.46,19.62,19.65,19.72,19.81,19.8,19.64,19.56
31.1N,19.16,19.38,19.11,19.01,19.12,19.37,19.39,19.44,19.39,19.6,19.42
31.2N,19.15,19.12,18.65,18.47,18.54,18.76,18.97,19.01,18.98,19.33,19.27
31.3N,19.3,19.09,18.67,18.31,18.22,18.89,18.56,18.74,18.53,18.48,18.41
31.4N,18.65,18.66,18.37,18.49,18.42,18.44,18.4,18.37,18.28,18.29,17.91
31.5N,18.47,18.44,18.7,18.01,18.32,18.28,18.24,17.99,17.83,18.03,18.13
31.6N,18.33,18.24,18.72,18.1,18.07,17.98,17.9,17.75,17.76,17.84,17.85
31.7N,18.18,18.15,18.38,18.34,18.17,18.06,17.95,17.93,17.99,17.46,17.96
31.8N,18.07,17.82,18.06,17.95,18.09,18.14,18.28,18.06,17.9,18.1,17.71
31.9N,18.36,18.06,18.35,18.04,18.6,18.11,18.15,18.2,18.13,17.96,17.93
32N,18.28,18.27,18.33,18.25,18.31,18.21,18.47,18.3,18.19,18.03,17.83
32.1N,18.28,18.37,18.14,18.62,18.2,18.2,18.29,18.36,17.98,17.82,17.86
32.2N,18.05,18.1,18.28,18.5,17.94,17.97,18.18,18.12,17.49,17.66,17.44
32.3N,18.68,17.99,17.98,18.44,18.28,18.45,18.17,17.92,17.17,17.34,17.73
32.4N,18.73,18.35,18.24,18.11,17.86,18.25,17.79,17.76,17.6,17.27,17.11
32.5N,18.31,18.2,18.46,17.9,18.24,18.15,17.84,17.94,17.8,17.86,17.14
32.6N,18.12,18.23,18.11,17.87,18.36,18.02,17.68,17.9,17.94,17.84,17.56
32.7N,18.23,17.94,18.06,17.84,17.88,17.43,17.92,17.73,17.66,17.44,17.27
32.8N,18.02,17.76,17.4,17.73,17.57,17.43,18.11,17.48,17.57,17.27,17.21
32.9N,17.75,17.27,17.74,17.36,18,17.13,17.74,17.45,17.07,17.2,17
33N,17.01,17.35,17.28,17.29,17.69,17.51,17.13,17.06,17.07,17.46,16.99
33.1N,16.66,17.3,17.11,17.01,17.5,17.09,16.96,16.79,17.16,17.05,16.64
33.2N,17.44,17.19,17.01,17.24,17.1,17.09,16.75,17,17.1,17.19,17
33.3N,16.71,16.9,17.15,17.23,16.84,17.27,17.18,17.05,17.25,17.27,17.14
33.4N,17.1,16.99,17.03,16.69,16.82,17.25,17.37,17.33,17.31,17.18,17.27
33.5N,16.44,16.64,16.71,16.23,16.84,17.04,17.16,17.14,17,16.85,17.36
33.6N,16.1,16.32,16.32,16.51,16.47,16.57,16.53,17.01,16.87,16.88,16.92
33.7N,16.53,16.1,16.61,16.74,16.6,16.89,16.59,16.84,16.73,17.09,16.91
