year,NPI.NDJFM,SST17.FebMar,CHLAp2.FebMar,NPGO.NDJFM,PDO.FebMar,PDO.NDJFM,NPGO.FebMar
1998,-3.42,30.07,29.965,1.368,1.785,0.59,1.40
1999,0.55,32.95,33.76,1.608,-0.495,0.688,2.14
2000,-0.45,32.88,34.34,2.476,-0.27,-0.998,2.14
2001,-1.82,32.195,33.65,1.944,0.37,-0.51,2.68
2002,0.3,31.52,31.88,1.75,-0.535,-0.17,2.04
2003,-3.84,30.64,31.92,0.286,1.63,0.562,1.24
2004,-0.34,31.94,32.76,-1.146,0.545,1.24,0.53
2005,-0.75,32.015,32.39,-0.806,1.085,0.144,-1.05
2006,1.21,32.155,32.285,-0.276,0.355,0.262,-0.44
2007,0.93,31.825,33.18,0.998,-0.16,0.332,0.04
2008,0.4,33.41,34.13,0.964,-0.74,-0.394,1.67
2009,4.57,33.415,35.965,1.702,-1.57,-0.92,0.93
2010,-2.41,31.005,30.375,0.86,0.63,-0.972,2.16
2011,2.23,33.16,33.495,0.876,-0.76,0.012,1.24
