             VARIABLE : Pacific Decadal Oscillation (from UW/JISAO)
             FILENAME : pdo.nc
             SUBSET   : 204 points (TIME)
 15-JAN-1996 00 / 1153:  0.590
 15-FEB-1996 00 / 1154:  0.750
 15-MAR-1996 00 / 1155:  1.010
 15-APR-1996 00 / 1156:  1.460
 15-MAY-1996 00 / 1157:  2.180
 15-JUN-1996 00 / 1158:  1.100
 15-JUL-1996 00 / 1159:  0.770
 15-AUG-1996 00 / 1160: -0.140
 15-SEP-1996 00 / 1161:  0.240
 15-OCT-1996 00 / 1162: -0.330
 15-NOV-1996 00 / 1163:  0.090
 15-DEC-1996 00 / 1164: -0.030
 15-JAN-1997 00 / 1165:  0.230
 15-FEB-1997 00 / 1166:  0.280
 15-MAR-1997 00 / 1167:  0.650
 15-APR-1997 00 / 1168:  1.050
 15-MAY-1997 00 / 1169:  1.830
 15-JUN-1997 00 / 1170:  2.760
 15-JUL-1997 00 / 1171:  2.350
 15-AUG-1997 00 / 1172:  2.790
 15-SEP-1997 00 / 1173:  2.190
 15-OCT-1997 00 / 1174:  1.610
 15-NOV-1997 00 / 1175:  1.120
 15-DEC-1997 00 / 1176:  0.670
 15-JAN-1998 00 / 1177:  0.830
 15-FEB-1998 00 / 1178:  1.560
 15-MAR-1998 00 / 1179:  2.010
 15-APR-1998 00 / 1180:  1.270
 15-MAY-1998 00 / 1181:  0.700
 15-JUN-1998 00 / 1182:  0.400
 15-JUL-1998 00 / 1183: -0.040
 15-AUG-1998 00 / 1184: -0.220
 15-SEP-1998 00 / 1185: -1.210
 15-OCT-1998 00 / 1186: -1.390
 15-NOV-1998 00 / 1187: -0.520
 15-DEC-1998 00 / 1188: -0.440
 15-JAN-1999 00 / 1189: -0.320
 15-FEB-1999 00 / 1190: -0.660
 15-MAR-1999 00 / 1191: -0.330
 15-APR-1999 00 / 1192: -0.410
 15-MAY-1999 00 / 1193: -0.680
 15-JUN-1999 00 / 1194: -1.300
 15-JUL-1999 00 / 1195: -0.660
 15-AUG-1999 00 / 1196: -0.960
 15-SEP-1999 00 / 1197: -1.530
 15-OCT-1999 00 / 1198: -2.230
 15-NOV-1999 00 / 1199: -2.050
 15-DEC-1999 00 / 1200: -1.630
 15-JAN-2000 00 / 1201: -2.000
 15-FEB-2000 00 / 1202: -0.830
 15-MAR-2000 00 / 1203:  0.290
 15-APR-2000 00 / 1204:  0.350
 15-MAY-2000 00 / 1205: -0.050
 15-JUN-2000 00 / 1206: -0.440
 15-JUL-2000 00 / 1207: -0.660
 15-AUG-2000 00 / 1208: -1.190
 15-SEP-2000 00 / 1209: -1.240
 15-OCT-2000 00 / 1210: -1.300
 15-NOV-2000 00 / 1211: -0.530
 15-DEC-2000 00 / 1212:  0.520
 15-JAN-2001 00 / 1213:  0.600
 15-FEB-2001 00 / 1214:  0.290
 15-MAR-2001 00 / 1215:  0.450
 15-APR-2001 00 / 1216: -0.310
 15-MAY-2001 00 / 1217: -0.300
 15-JUN-2001 00 / 1218: -0.470
 15-JUL-2001 00 / 1219: -1.310
 15-AUG-2001 00 / 1220: -0.770
 15-SEP-2001 00 / 1221: -1.370
 15-OCT-2001 00 / 1222: -1.370
 15-NOV-2001 00 / 1223: -1.260
 15-DEC-2001 00 / 1224: -0.930
 15-JAN-2002 00 / 1225:  0.270
 15-FEB-2002 00 / 1226: -0.640
 15-MAR-2002 00 / 1227: -0.430
 15-APR-2002 00 / 1228: -0.320
 15-MAY-2002 00 / 1229: -0.630
 15-JUN-2002 00 / 1230: -0.350
 15-JUL-2002 00 / 1231: -0.310
 15-AUG-2002 00 / 1232:  0.600
 15-SEP-2002 00 / 1233:  0.430
