             VARIABLE : H (cm)
                        box smoothed by 52 pts on T
             DATA SET : SSALTO/DUACS - DT MSLA - Merged Product - Homogeneous Global Processing
             FILENAME : dataset-duacs-dt-ref-global-merged-msla-h_1996-2012.nc
             SUBSET   : 883 points (TIME)
             LONGITUDE: 158W(202)
             LATITUDE : 32N to 34N (averaged)
                        158W   
                        127
 17-JAN-1996 00 /   3:   ....
 24-JAN-1996 00 /   4:   ....
 31-JAN-1996 00 /   5:   ....
 07-FEB-1996 00 /   6:   ....
 14-FEB-1996 00 /   7:   ....
 21-FEB-1996 00 /   8:   ....
 28-FEB-1996 00 /   9:   ....
 06-MAR-1996 00 /  10:   ....
 13-MAR-1996 00 /  11:   ....
 20-MAR-1996 00 /  12:   ....
 27-MAR-1996 00 /  13:   ....
 03-APR-1996 00 /  14:   ....
 10-APR-1996 00 /  15:   ....
 17-APR-1996 00 /  16:   ....
 24-APR-1996 00 /  17:   ....
 01-MAY-1996 00 /  18:   ....
 08-MAY-1996 00 /  19:   ....
 15-MAY-1996 00 /  20:   ....
 22-MAY-1996 00 /  21:   ....
 29-MAY-1996 00 /  22:   ....
 05-JUN-1996 00 /  23:   ....
 12-JUN-1996 00 /  24:   ....
 19-JUN-1996 00 /  25:   ....
 26-JUN-1996 00 /  26:   ....
 03-JUL-1996 00 /  27:  -2.13
 10-JUL-1996 00 /  28:  -2.22
 17-JUL-1996 00 /  29:  -2.30
 24-JUL-1996 00 /  30:  -2.36
 31-JUL-1996 00 /  31:  -2.41
 07-AUG-1996 00 /  32:  -2.45
 14-AUG-1996 00 /  33:  -2.46
 21-AUG-1996 00 /  34:  -2.45
 28-AUG-1996 00 /  35:  -2.42
 04-SEP-1996 00 /  36:  -2.39
 11-SEP-1996 00 /  37:  -2.35
 18-SEP-1996 00 /  38:  -2.28
 25-SEP-1996 00 /  39:  -2.20
 02-OCT-1996 00 /  40:  -2.14
 09-OCT-1996 00 /  41:  -2.08
 16-OCT-1996 00 /  42:  -2.02
 23-OCT-1996 00 /  43:  -1.95
 30-OCT-1996 00 /  44:  -1.87
 06-NOV-1996 00 /  45:  -1.79
 13-NOV-1996 00 /  46:  -1.74
 20-NOV-1996 00 /  47:  -1.72
 27-NOV-1996 00 /  48:  -1.73
 04-DEC-1996 00 /  49:  -1.75
 11-DEC-1996 00 /  50:  -1.80
 18-DEC-1996 00 /  51:  -1.87
 25-DEC-1996 00 /  52:  -1.94
 01-JAN-1997 00 /  53:  -1.99
 08-JAN-1997 00 /  54:  -2.02
 15-JAN-1997 00 /  55:  -2.04
 22-JAN-1997 00 /  56:  -2.05
 29-JAN-1997 00 /  57:  -2.05
 05-FEB-1997 00 /  58:  -2.05
 12-FEB-1997 00 /  59:  -2.06
 19-FEB-1997 00 /  60:  -2.08
 26-FEB-1997 00 /  61:  -2.10
 05-MAR-1997 00 /  62:  -2.11
 12-MAR-1997 00 /  63:  -2.12
 19-MAR-1997 00 /  64:  -2.15
 26-MAR-1997 00 /  65:  -2.17
 02-APR-1997 00 /  66:  -2.17
 09-APR-1997 00 /  67:  -2.15
 16-APR-1997 00 /  68:  -2.09
 23-APR-1997 00 /  69:  -2.02
 30-APR-1997 00 /  70:  -1.93
 07-MAY-1997 00 /  71:  -1.80
 14-MAY-1997 00 /  72:  -1.69
 21-MAY-1997 00 /  73:  -1.62
 28-MAY-1997 00 /  74:  -1.56
 04-JUN-1997 00 /  75:  -1.49
