	VARIABLE	:	H	(cm)										
	DATA	SET	:	SSALTO/DUACS	-	DT	MSLA	-	Merged	Product	-	Homogeneous	Global	Processing
	FILENAME	:	dataset-duacs-dt-ref-global-merged-msla-h_1996-2012.nc											
	SUBSET	:	883	points	(TIME)									
	LONGITUDE:	158W(202)												
	LATITUDE	:	32N	to	34N	(averaged)								
	158W													
127														
	17-Jan-96	0	/	3:00	-1.69									
	24-Jan-96	0	/	4:00	-1.02									
	31-Jan-96	0	/	5:00	-0.7									
	7-Feb-96	0	/	6:00	-1.67									
	14-Feb-96	0	/	7:00	-3.05									
	21-Feb-96	0	/	8:00	-5.06									
	28-Feb-96	0	/	9:00	-6.5									
	6-Mar-96	0	/	10:00	-7.78									
	13-Mar-96	0	/	11:00	-9.99									
	20-Mar-96	0	/	12:00	-11.55									
	27-Mar-96	0	/	13:00	-10.85									
	3-Apr-96	0	/	14:00	-9.1									
	10-Apr-96	0	/	15:00	-7.56									
	17-Apr-96	0	/	16:00	-7.47									
	24-Apr-96	0	/	17:00	-8.19									
	1-May-96	0	/	18:00	-9.34									
	8-May-96	0	/	19:00	-9.5									
	15-May-96	0	/	20:00	-8.27									
	22-May-96	0	/	21:00	-6.63									
	29-May-96	0	/	22:00	-5.66									
	5-Jun-96	0	/	23:00	-3.99									
	12-Jun-96	0	/	24:00:00	-2.34									
	19-Jun-96	0	/	25:00:00	-1.69									
	26-Jun-96	0	/	26:00:00	-1.79									
	3-Jul-96	0	/	27:00:00	-1.82									
	10-Jul-96	0	/	28:00:00	-1.46									
	17-Jul-96	0	/	29:00:00	-0.41									
	24-Jul-96	0	/	30:00:00	0.47									
	31-Jul-96	0	/	31:00:00	1.01									
	7-Aug-96	0	/	32:00:00	1									
	14-Aug-96	0	/	33:00:00	1.17									
	21-Aug-96	0	/	34:00:00	1.67									
	28-Aug-96	0	/	35:00:00	1.96									
	4-Sep-96	0	/	36:00:00	2.51									
	11-Sep-96	0	/	37:00:00	3.79									
	18-Sep-96	0	/	38:00:00	4.72									
	25-Sep-96	0	/	39:00:00	5.35									
	2-Oct-96	0	/	40:00:00	5.01									
	9-Oct-96	0	/	41:00:00	3.63									
	16-Oct-96	0	/	42:00:00	2.93									
	23-Oct-96	0	/	43:00:00	1.63									
	30-Oct-96	0	/	44:00:00	-0.46									
	6-Nov-96	0	/	45:00:00	-0.67									
	13-Nov-96	0	/	46:00:00	1.78									
	20-Nov-96	0	/	47:00:00	3.33									
	27-Nov-96	0	/	48:00:00	2.52									
	4-Dec-96	0	/	49:00:00	0.51									
	11-Dec-96	0	/	50:00:00	-1.31									
	18-Dec-96	0	/	51:00:00	-1.88									
	25-Dec-96	0	/	52:00:00	-2.78									
	1-Jan-97	0	/	53:00:00	-4.74									
	8-Jan-97	0	/	54:00:00	-5.93									
	15-Jan-97	0	/	55:00:00	-5.03									
	22-Jan-97	0	/	56:00:00	-3.67									
	29-Jan-97	0	/	57:00:00	-3.47									
	5-Feb-97	0	/	58:00:00	-3.16									
	12-Feb-97	0	/	59:00:00	-3.05									
	19-Feb-97	0	/	60:00:00	-3.56									
	26-Feb-97	0	/	61:00:00	-4.94									
	5-Mar-97	0	/	62:00:00	-6.43									
	12-Mar-97	0	/	63:00:00	-7.13									
	19-Mar-97	0	/	64:00:00	-7.1									
	26-Mar-97	0	/	65:00:00	-6.92									
	2-Apr-97	0	/	66:00:00	-6.21									
	9-Apr-97	0	/	67:00:00	-4.75									
	16-Apr-97	0	/	68:00:00	-4.32									
	23-Apr-97	0	/	69:00:00	-4.25									
	30-Apr-97	0	/	70:00:00	-4.51									
	7-May-97	0	/	71:00:00	-5.77									
	14-May-97	0	/	72:00:00	-6.79									
	21-May-97	0	/	73:00:00	-6.75									
	28-May-97	0	/	74:00:00	-6.14									
	4-Jun-97	0	/	75:00:00	-5.45									
	11-Jun-97	0	/	76:00:00	-5.71									
	18-Jun-97	0	/	77:00:00	-5.86									
	25-Jun-97	0	/	78:00:00	-4.94									
	2-Jul-97	0	/	79:00:00	-3.78									
	9-Jul-97	0	/	80:00:00	-2.44									
	16-Jul-97	0	/	81:00:00	-1.44									
	23-Jul-97	0	/	82:00:00	0.34									
	30-Jul-97	0	/	83:00:00	0.98									
	6-Aug-97	0	/	84:00:00	0.55									
	13-Aug-97	0	/	85:00:00	0.44									
	20-Aug-97	0	/	86:00:00	0.67									
	27-Aug-97	0	/	87:00:00	1.14									
	3-Sep-97	0	/	88:00:00	2.19									
	10-Sep-97	0	/	89:00:00	2.7									
	17-Sep-97	0	/	90:00:00	3.33									
	24-Sep-97	0	/	91:00:00	4.33									
	1-Oct-97	0	/	92:00:00	5.44									
	8-Oct-97	0	/	93:00:00	6.12									
	15-Oct-97	0	/	94:00:00	6.24									
	22-Oct-97	0	/	95:00:00	5.27									
	29-Oct-97	0	/	96:00:00	5.7									
	5-Nov-97	0	/	97:00:00	6.24									
	12-Nov-97	0	/	98:00:00	6.29									
	19-Nov-97	0	/	99:00:00	6.42									
	26-Nov-97	0	/	100:00:00	6.01									
	3-Dec-97	0	/	101:00:00	4.3									
	10-Dec-97	0	/	102:00:00	2.6									
	17-Dec-97	0	/	103:00:00	0.38									
	24-Dec-97	0	/	104:00:00	-1.19									
	31-Dec-97	0	/	105:00:00	-1.09									
	7-Jan-98	0	/	106:00:00	0.3									
	14-Jan-98	0	/	107:00:00	0.19									
	21-Jan-98	0	/	108:00:00	0.42									
	28-Jan-98	0	/	109:00:00	0.63									
	4-Feb-98	0	/	110:00:00	0.69									
	11-Feb-98	0	/	111:00:00	0.84									
	18-Feb-98	0	/	112:00:00	0.07									
	25-Feb-98	0	/	113:00:00	-1.33									
	4-Mar-98	0	/	114:00:00	-3.06									
	11-Mar-98	0	/	115:00:00	-4.22									
	18-Mar-98	0	/	116:00:00	-5.2									
	25-Mar-98	0	/	117:00:00	-5.23									
	1-Apr-98	0	/	118:00:00	-4.72									
	8-Apr-98	0	/	119:00:00	-4.5									
	15-Apr-98	0	/	120:00:00	-4.89									
	22-Apr-98	0	/	121:00:00	-6.04									
	29-Apr-98	0	/	122:00:00	-7									
	6-May-98	0	/	123:00:00	-6.58									
	13-May-98	0	/	124:00:00	-5.71									
	20-May-98	0	/	125:00:00	-5.48									
	27-May-98	0	/	126:00:00	-5.25									
	3-Jun-98	0	/	127:00:00	-4.32									
	10-Jun-98	0	/	128:00:00	-3.14									
	17-Jun-98	0	/	129:00:00	-2.77									
	24-Jun-98	0	/	130:00:00	-2.45									
	1-Jul-98	0	/	131:00:00	-1.94									
	8-Jul-98	0	/	132:00:00	-1.52									
	15-Jul-98	0	/	133:00:00	-1.03									
	22-Jul-98	0	/	134:00:00	-0.34									
	29-Jul-98	0	/	135:00:00	0.58									
	5-Aug-98	0	/	136:00:00	1.82									
	12-Aug-98	0	/	137:00:00	3.79									
	19-Aug-98	0	/	138:00:00	5.4									
	26-Aug-98	0	/	139:00:00	5.6									
	2-Sep-98	0	/	140:00:00	5.28									
	9-Sep-98	0	/	141:00:00	4.76									
	16-Sep-98	0	/	142:00:00	5.06									
	23-Sep-98	0	/	143:00:00	5.64									
	30-Sep-98	0	/	144:00:00	6.09									
	7-Oct-98	0	/	145:00:00	6									
	14-Oct-98	0	/	146:00:00	6.32									
	21-Oct-98	0	/	147:00:00	6.46									
	28-Oct-98	0	/	148:00:00	6.58									
	4-Nov-98	0	/	149:00:00	7.07									
	11-Nov-98	0	/	150:00:00	8.08									
	18-Nov-98	0	/	151:00:00	9.09									
	25-Nov-98	0	/	152:00:00	9.22									
	2-Dec-98	0	/	153:00:00	8.6									
	9-Dec-98	0	/	154:00:00	7.94									
	16-Dec-98	0	/	155:00:00	6.82									
	23-Dec-98	0	/	156:00:00	6.8									
	30-Dec-98	0	/	157:00:00	7.67									
	6-Jan-99	0	/	158:00:00	9.37									
	13-Jan-99	0	/	159:00:00	9.66									
	20-Jan-99	0	/	160:00:00	8.74									
	27-Jan-99	0	/	161:00:00	7.29									
	3-Feb-99	0	/	162:00:00	6.47									
	10-Feb-99	0	/	163:00:00	5.66									
	17-Feb-99	0	/	164:00:00	3.7									
	24-Feb-99	0	/	165:00:00	0.97									
	3-Mar-99	0	/	166:00:00	0.12									
	10-Mar-99	0	/	167:00:00	0.74									
	17-Mar-99	0	/	168:00:00	0.61									
	24-Mar-99	0	/	169:00:00	-0.25									
	31-Mar-99	0	/	170:00:00	-1.02									
	7-Apr-99	0	/	171:00:00	-1.17									
	14-Apr-99	0	/	172:00:00	-0.95									
	21-Apr-99	0	/	173:00:00	-1.02									
	28-Apr-99	0	/	174:00:00	-0.69									
	5-May-99	0	/	175:00:00	0.33									
	12-May-99	0	/	176:00:00	1.52									
	19-May-99	0	/	177:00:00	2.25									
	26-May-99	0	/	178:00:00	3.59									
	2-Jun-99	0	/	179:00:00	5.52									
	9-Jun-99	0	/	180:00:00	7.57									
	16-Jun-99	0	/	181:00:00	8.88									
	23-Jun-99	0	/	182:00:00	9.5									
	30-Jun-99	0	/	183:00:00	10.62									
	7-Jul-99	0	/	184:00:00	10.13									
	14-Jul-99	0	/	185:00:00	8.85									
	21-Jul-99	0	/	186:00:00	8.65									
	28-Jul-99	0	/	187:00:00	8.94									
	4-Aug-99	0	/	188:00:00	8.57									
	11-Aug-99	0	/	189:00:00	7.87									
	18-Aug-99	0	/	190:00:00	7.25									
	25-Aug-99	0	/	191:00:00	6.7									
	1-Sep-99	0	/	192:00:00	6.29									
	8-Sep-99	0	/	193:00:00	6.63									
	15-Sep-99	0	/	194:00:00	7.76									
	22-Sep-99	0	/	195:00:00	9.63									
	29-Sep-99	0	/	196:00:00	11.05									
	6-Oct-99	0	/	197:00:00	11.44									
	13-Oct-99	0	/	198:00:00	11.3									
	20-Oct-99	0	/	199:00:00	11.76									
	27-Oct-99	0	/	200:00:00	12.12									
	3-Nov-99	0	/	201:00:00	12.63									
	10-Nov-99	0	/	202:00:00	13.41									
	17-Nov-99	0	/	203:00:00	14.07									
	24-Nov-99	0	/	204:00:00	13.81									
	1-Dec-99	0	/	205:00:00	11.93									
	8-Dec-99	0	/	206:00:00	9.96									
	15-Dec-99	0	/	207:00:00	8.18									
	22-Dec-99	0	/	208:00:00	7.48									
	29-Dec-99	0	/	209:00:00	7.14									
	5-Jan-00	0	/	210:00:00	6.63									
	12-Jan-00	0	/	211:00:00	5.45									
	19-Jan-00	0	/	212:00:00	3.6									
	26-Jan-00	0	/	213:00:00	2.33									
	2-Feb-00	0	/	214:00:00	2.78									
	9-Feb-00	0	/	215:00:00	3.79									
	16-Feb-00	0	/	216:00:00	4.37									
