yes? list CHLA[d=1,X=200:205@AVE,Y=20:50@LOC:0.2,T="15-JAN-1998":"15-DEC-2011"]
             VARIABLE : LATITUDE of 0.2 in Chlorophyll-a Concentration (degrees_north)
             DATA SET : SeaWiFS - Monthly Ocean Color
             FILENAME : monthly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/seawifs/
             SUBSET   : 156 points (TIME)
             LONGITUDE: 160W to 155W (averaged)
             LATITUDE : 20N to 50N (location of 0.2)
 01-JAN-1998 00 /   4:  30.45
 01-FEB-1998 00 /   5:  29.51
 01-MAR-1998 00 /   6:  30.42
 01-APR-1998 00 /   7:  33.47
 01-MAY-1998 00 /   8:  39.03
 01-JUN-1998 00 /   9:  36.28
 01-JUL-1998 00 /  10:  42.12
 01-AUG-1998 00 /  11:  42.53
 01-SEP-1998 00 /  12:  42.33
 01-OCT-1998 00 /  13:  42.33
 01-NOV-1998 00 /  14:  38.17
 01-DEC-1998 00 /  15:  34.89
 01-JAN-1999 00 /  16:  34.76
 01-FEB-1999 00 /  17:  33.80
 01-MAR-1999 00 /  18:  33.72
 01-APR-1999 00 /  19:  35.83
 01-MAY-1999 00 /  20:  36.66
 01-JUN-1999 00 /  21:  38.27
 01-JUL-1999 00 /  22:  38.64
 01-AUG-1999 00 /  23:  42.22
 01-SEP-1999 00 /  24:  42.57
 01-OCT-1999 00 /  25:  41.29
 01-NOV-1999 00 /  26:  38.45
 01-DEC-1999 00 /  27:  36.58
 01-JAN-2000 00 /  28:  36.54
 01-FEB-2000 00 /  29:  34.36
 01-MAR-2000 00 /  30:  34.32
 01-APR-2000 00 /  31:  35.39
 01-MAY-2000 00 /  32:  36.45
 01-JUN-2000 00 /  33:  38.04
 01-JUL-2000 00 /  34:  43.03
 01-AUG-2000 00 /  35:  44.23
 01-SEP-2000 00 /  36:  44.39
 01-OCT-2000 00 /  37:  42.27
 01-NOV-2000 00 /  38:  37.79
 01-DEC-2000 00 /  39:  34.84
 01-JAN-2001 00 /  40:  33.63
 01-FEB-2001 00 /  41:  33.59
 01-MAR-2001 00 /  42:  33.71
 01-APR-2001 00 /  43:  34.26
 01-MAY-2001 00 /  44:  36.07
 01-JUN-2001 00 /  45:  38.41
 01-JUL-2001 00 /  46:  42.01
 01-AUG-2001 00 /  47:  43.18
 01-SEP-2001 00 /  48:  43.41
 01-OCT-2001 00 /  49:  40.16
 01-NOV-2001 00 /  50:  36.87
 01-DEC-2001 00 /  51:  35.64
 01-JAN-2002 00 /  52:  32.50
 01-FEB-2002 00 /  53:  31.78
 01-MAR-2002 00 /  54:  31.98
 01-APR-2002 00 /  55:  36.39
 01-MAY-2002 00 /  56:  36.17
 01-JUN-2002 00 /  57:  38.07
 01-JUL-2002 00 /  58:  39.68
 01-AUG-2002 00 /  59:  43.87
 01-SEP-2002 00 /  60:  43.82
 01-OCT-2002 00 /  61:  41.13
 01-NOV-2002 00 /  62:  35.42
 01-DEC-2002 00 /  63:  33.48
 01-JAN-2003 00 /  64:  31.19
 01-FEB-2003 00 /  65:  32.54
 01-MAR-2003 00 /  66:  31.33
 01-APR-2003 00 /  67:  33.47
 01-MAY-2003 00 /  68:  35.29
 01-JUN-2003 00 /  69:  36.86
 01-JUL-2003 00 /  70:  37.33
 01-AUG-2003 00 /  71:  40.56
 01-SEP-2003 00 /  72:  41.24
 01-OCT-2003 00 /  73:  38.14
 01-NOV-2003 00 /  74:  36.46
 01-DEC-2003 00 /  75:  35.62
 01-JAN-2004 00 /  76:  33.99
 01-FEB-2004 00 /  77:  32.77
 01-MAR-2004 00 /  78:  32.73
 01-APR-2004 00 /  79:  33.13
 01-MAY-2004 00 /  80:  36.13
 01-JUN-2004 00 /  81:  36.74
 01-JUL-2004 00 /  82:  41.89
 01-AUG-2004 00 /  83:  43.21
 01-SEP-2004 00 /  84:  44.51
 01-OCT-2004 00 /  85:  41.77
 01-NOV-2004 00 /  86:  37.86
 01-DEC-2004 00 /  87:  36.36
 01-JAN-2005 00 /  88:  34.62
 01-FEB-2005 00 /  89:  32.76
 01-MAR-2005 00 /  90:  31.65
 01-APR-2005 00 /  91:  33.21
 01-MAY-2005 00 /  92:  34.87
 01-JUN-2005 00 /  93:  39.59
 01-JUL-2005 00 /  94:  41.36
 01-AUG-2005 00 /  95:  41.59
 01-SEP-2005 00 /  96:  42.59
 01-OCT-2005 00 /  97:  41.57
 01-NOV-2005 00 /  98:  41.10
 01-DEC-2005 00 /  99:  34.39
 01-JAN-2006 00 / 100:  32.47
 01-FEB-2006 00 / 101:  31.59
 01-MAR-2006 00 / 102:  32.70
 01-APR-2006 00 / 103:  36.31
 01-MAY-2006 00 / 104:  37.98
 01-JUN-2006 00 / 105:  38.06
 01-JUL-2006 00 / 106:  39.63
 01-AUG-2006 00 / 107:  42.13
 01-SEP-2006 00 / 108:  41.99
 01-OCT-2006 00 / 109:  40.64
 01-NOV-2006 00 / 110:  39.07
 01-DEC-2006 00 / 111:  35.08
 01-JAN-2007 00 / 112:  33.61
 01-FEB-2007 00 / 113:  33.43
 01-MAR-2007 00 / 114:  33.62
 01-APR-2007 00 / 115:  33.57
 01-MAY-2007 00 / 116:  34.29
 01-JUN-2007 00 / 117:  37.54
 01-JUL-2007 00 / 118:  38.79
 01-AUG-2007 00 / 119:  42.78
 01-SEP-2007 00 / 120:  32.03
 01-OCT-2007 00 / 121:  40.78
 01-NOV-2007 00 / 122:  38.29
 01-DEC-2007 00 / 123:  35.56
 01-JAN-2008 00 / 124:   ....
 01-FEB-2008 00 / 125:   ....
 01-MAR-2008 00 / 126:   ....
 01-APR-2008 00 / 127:  36.59
 01-MAY-2008 00 / 128:  36.13
 01-JUN-2008 00 / 129:  40.19
 01-JUL-2008 00 / 130:   ....
 01-AUG-2008 00 / 131:  41.74
 01-SEP-2008 00 / 132:  41.78
 01-OCT-2008 00 / 133:  39.54
 01-NOV-2008 00 / 134:  38.37
 01-DEC-2008 00 / 135:  38.75
 01-JAN-2009 00 / 136:  35.69
 01-FEB-2009 00 / 137:  35.61
 01-MAR-2009 00 / 138:  36.73
 01-APR-2009 00 / 139:  39.69
 01-MAY-2009 00 / 140:   ....
 01-JUN-2009 00 / 141:  39.83
 01-JUL-2009 00 / 142:  42.52
 01-AUG-2009 00 / 143:  42.77
 01-SEP-2009 00 / 144:  35.50
 01-OCT-2009 00 / 145:   ....
 01-NOV-2009 00 / 146:  38.74
 01-DEC-2009 00 / 147:  36.74
 01-JAN-2010 00 / 148:  31.23
 01-FEB-2010 00 / 149:  30.03
 01-MAR-2010 00 / 150:  29.69
 01-APR-2010 00 / 151:  33.74
 01-MAY-2010 00 / 152:  36.32
 01-JUN-2010 00 / 153:  37.52
 01-JUL-2010 00 / 154:  39.24
 01-AUG-2010 00 / 155:  45.17
 01-SEP-2010 00 / 156:  45.14
 01-OCT-2010 00 / 157:  37.88
 01-NOV-2010 00 / 158:  36.61
 01-DEC-2010 00 / 159:  37.07
