yes? list SST[d=3,X=200:205@AVE,Y=20:50@LOC:17,T="15-JAN-1998":"15-DEC-2011"]
             VARIABLE : LATITUDE of 17 in Sea-Surface Temperature (degrees_north)
             DATA SET : AVHRR SST - Monthly
             FILENAME : monthly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/pfgac/
             SUBSET   : 168 points (TIME)
             LONGITUDE: 160W to 155W (averaged)
             LATITUDE : 20N to 50N (location of 17)
 01-JAN-1998 00 / 157:  32.11
 01-FEB-1998 00 / 158:  29.69
 01-MAR-1998 00 / 159:  30.45
 01-APR-1998 00 / 160:  31.42
 01-MAY-1998 00 / 161:  33.16
 01-JUN-1998 00 / 162:  37.56
 01-JUL-1998 00 / 163:  41.20
 01-AUG-1998 00 / 164:  40.79
 01-SEP-1998 00 / 165:  41.45
 01-OCT-1998 00 / 166:  40.89
 01-NOV-1998 00 / 167:  37.86
 01-DEC-1998 00 / 168:  35.62
 01-JAN-1999 00 / 169:  33.96
 01-FEB-1999 00 / 170:  33.54
 01-MAR-1999 00 / 171:  32.36
 01-APR-1999 00 / 172:  33.49
 01-MAY-1999 00 / 173:  35.72
 01-JUN-1999 00 / 174:  37.34
 01-JUL-1999 00 / 175:  39.83
 01-AUG-1999 00 / 176:  43.03
 01-SEP-1999 00 / 177:  43.03
 01-OCT-1999 00 / 178:  40.75
 01-NOV-1999 00 / 179:  37.53
 01-DEC-1999 00 / 180:  35.94
 01-JAN-2000 00 / 181:  33.76
 01-FEB-2000 00 / 182:  32.74
 01-MAR-2000 00 / 183:  33.02
 01-APR-2000 00 / 184:  32.68
 01-MAY-2000 00 / 185:  34.96
 01-JUN-2000 00 / 186:  37.25
 01-JUL-2000 00 / 187:  42.13
 01-AUG-2000 00 / 188:  45.15
 01-SEP-2000 00 / 189:  45.38
 01-OCT-2000 00 / 190:  41.13
 01-NOV-2000 00 / 191:  39.36
 01-DEC-2000 00 / 192:  34.94
 01-JAN-2001 00 / 193:  32.82
 01-FEB-2001 00 / 194:  32.24
 01-MAR-2001 00 / 195:  32.15
 01-APR-2001 00 / 196:  33.25
 01-MAY-2001 00 / 197:  35.36
 01-JUN-2001 00 / 198:  38.34
 01-JUL-2001 00 / 199:  41.68
 01-AUG-2001 00 / 200:  43.26
 01-SEP-2001 00 / 201:  43.20
 01-OCT-2001 00 / 202:  40.87
 01-NOV-2001 00 / 203:  36.91
 01-DEC-2001 00 / 204:  35.92
 01-JAN-2002 00 / 205:  32.64
 01-FEB-2002 00 / 206:  31.76
 01-MAR-2002 00 / 207:  31.28
 01-APR-2002 00 / 208:  32.17
 01-MAY-2002 00 / 209:  33.62
 01-JUN-2002 00 / 210:  36.05
 01-JUL-2002 00 / 211:  40.88
 01-AUG-2002 00 / 212:  43.90
 01-SEP-2002 00 / 213:  43.48
 01-OCT-2002 00 / 214:  41.77
 01-NOV-2002 00 / 215:  36.17
 01-DEC-2002 00 / 216:  32.88
 01-JAN-2003 00 / 217:  30.64
 01-FEB-2003 00 / 218:  30.46
 01-MAR-2003 00 / 219:  30.82
