yes? list CHLA[d=2,X=200:205@AVE,Y=20:50@LOC:0.2,T="15-JAN-1998":"15-DEC-2011"]
             VARIABLE : LATITUDE of 0.2 in Chlorophyll-a Concentration (degrees_north)
             DATA SET : MODIS Aqua - Monthly Ocean Color
             FILENAME : monthly
             FILEPATH : http://oceanwatch.pifsc.noaa.gov/thredds/dodsC/aqua/
             SUBSET   : 114 points (TIME)
             LONGITUDE: 160W to 155W (averaged)
             LATITUDE : 20N to 50N (location of 0.2)
 01-JUL-2002 00 /   1:  41.69
 01-AUG-2002 00 /   2:  43.91
 01-SEP-2002 00 /   3:  43.75
 01-OCT-2002 00 /   4:  41.17
 01-NOV-2002 00 /   5:  36.63
 01-DEC-2002 00 /   6:  35.06
 01-JAN-2003 00 /   7:  33.48
 01-FEB-2003 00 /   8:  32.51
 01-MAR-2003 00 /   9:  31.33
 01-APR-2003 00 /  10:  33.78
 01-MAY-2003 00 /  11:  35.58
 01-JUN-2003 00 /  12:  37.21
 01-JUL-2003 00 /  13:  37.35
 01-AUG-2003 00 /  14:  40.58
 01-SEP-2003 00 /  15:  41.31
 01-OCT-2003 00 /  16:  38.24
 01-NOV-2003 00 /  17:  36.46
 01-DEC-2003 00 /  18:  34.69
 01-JAN-2004 00 /  19:  33.90
 01-FEB-2004 00 /  20:  33.13
 01-MAR-2004 00 /  21:  32.39
 01-APR-2004 00 /  22:  33.91
 01-MAY-2004 00 /  23:  36.22
 01-JUN-2004 00 /  24:  36.48
 01-JUL-2004 00 /  25:  41.42
 01-AUG-2004 00 /  26:  43.22
 01-SEP-2004 00 /  27:  44.73
 01-OCT-2004 00 /  28:  41.90
 01-NOV-2004 00 /  29:  37.74
 01-DEC-2004 00 /  30:  36.56
 01-JAN-2005 00 /  31:  35.69
 01-FEB-2005 00 /  32:  32.79
 01-MAR-2005 00 /  33:  31.99
 01-APR-2005 00 /  34:  32.87
 01-MAY-2005 00 /  35:  34.32
 01-JUN-2005 00 /  36:  39.44
 01-JUL-2005 00 /  37:  41.39
 01-AUG-2005 00 /  38:  41.79
 01-SEP-2005 00 /  39:  42.53
 01-OCT-2005 00 /  40:  41.57
 01-NOV-2005 00 /  41:  40.62
 01-DEC-2005 00 /  42:  36.19
 01-JAN-2006 00 /  43:  32.32
 01-FEB-2006 00 /  44:  31.51
 01-MAR-2006 00 /  45:  33.06
 01-APR-2006 00 /  46:  34.27
 01-MAY-2006 00 /  47:  37.54
 01-JUN-2006 00 /  48:  38.30
 01-JUL-2006 00 /  49:  40.22
 01-AUG-2006 00 /  50:  42.24
 01-SEP-2006 00 /  51:  42.14
 01-OCT-2006 00 /  52:  41.21
 01-NOV-2006 00 /  53:  37.45
 01-DEC-2006 00 /  54:  35.79
 01-JAN-2007 00 /  55:  33.83
 01-FEB-2007 00 /  56:  32.95
 01-MAR-2007 00 /  57:  33.41
 01-APR-2007 00 /  58:  33.54
 01-MAY-2007 00 /  59:  34.30
 01-JUN-2007 00 /  60:  37.77
 01-JUL-2007 00 /  61:  38.68
 01-AUG-2007 00 /  62:  42.75
 01-SEP-2007 00 /  63:  43.61
 01-OCT-2007 00 /  64:  41.13
 01-NOV-2007 00 /  65:  38.76
 01-DEC-2007 00 /  66:  35.67
 01-JAN-2008 00 /  67:  34.98
 01-FEB-2008 00 /  68:  35.28
 01-MAR-2008 00 /  69:  32.98
 01-APR-2008 00 /  70:  36.79
 01-MAY-2008 00 /  71:  36.49
 01-JUN-2008 00 /  72:  40.16
 01-JUL-2008 00 /  73:  41.85
 01-AUG-2008 00 /  74:  41.31
 01-SEP-2008 00 /  75:  41.65
 01-OCT-2008 00 /  76:  40.28
 01-NOV-2008 00 /  77:  38.51
 01-DEC-2008 00 /  78:  37.60
 01-JAN-2009 00 /  79:  36.68
 01-FEB-2009 00 /  80:  35.50
 01-MAR-2009 00 /  81:  36.43
 01-APR-2009 00 /  82:  38.36
 01-MAY-2009 00 /  83:  38.67
 01-JUN-2009 00 /  84:  39.59
 01-JUL-2009 00 /  85:  41.98
 01-AUG-2009 00 /  86:  43.09
 01-SEP-2009 00 /  87:  41.51
 01-OCT-2009 00 /  88:  40.44
 01-NOV-2009 00 /  89:  38.54
 01-DEC-2009 00 /  90:  37.51
 01-JAN-2010 00 /  91:  32.02
 01-FEB-2010 00 /  92:  29.89
 01-MAR-2010 00 /  93:  30.86
 01-APR-2010 00 /  94:  35.08
 01-MAY-2010 00 /  95:  36.30
 01-JUN-2010 00 /  96:  37.42
 01-JUL-2010 00 /  97:  42.19
 01-AUG-2010 00 /  98:  45.88
 01-SEP-2010 00 /  99:  45.07
 01-OCT-2010 00 / 100:  38.24
 01-NOV-2010 00 / 101:  37.00
 01-DEC-2010 00 / 102:  35.62
 01-JAN-2011 00 / 103:  34.25
 01-FEB-2011 00 / 104:  33.05
 01-MAR-2011 00 / 105:  33.94
 01-APR-2011 00 / 106:  36.36
 01-MAY-2011 00 / 107:  38.01
 01-JUN-2011 00 / 108:  38.75
 01-JUL-2011 00 / 109:  43.90
 01-AUG-2011 00 / 110:  44.80
 01-SEP-2011 00 / 111:  43.28
 01-OCT-2011 00 / 112:  40.32
 01-NOV-2011 00 / 113:  39.61
 01-DEC-2011 00 / 114:  37.76
